ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_vir_wp,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,ship_4_x,ship_4_y,ship_4_u,ship_4_psi,ship_4_wp,ship_4_x_pred,ship_4_y_pred,time
275000.0,7044599.0,11.0,1.57,"[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048060.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.11099681596,7054054.980610126,279923.33,7048064.2,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270559.495557,7055552.67748816,281890.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395279803,7052000.018959623,10
275000.0,7044610.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048070.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.11056583404,7054064.980610126,279907.95,7048076.99,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270543.8881017066,7055565.182985806,281880.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395280166,7052000.018975653,11
275000.0,7044621.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048075.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.11034992395,7054069.980610126,279900.25,7048083.37,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270536.08471304836,7055571.433661171,281860.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952808876,7052000.019007778,12
275000.0,7044632.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048080.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.110133762,7054074.980610126,279900.25,7048083.37,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270536.08471304836,7055571.433661171,281860.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952808876,7052000.019007778,13
275000.0,7044643.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048080.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.110133762,7054074.980610126,279884.84,7048096.11,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270520.4803819506,7055583.930569932,281850.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395281247,7052000.019023894,14
275000.0,7044643.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048085.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10991730937,7054079.980610126,279877.12,7048102.47,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270512.6731544983,7055590.181451889,281840.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395280933,7052000.019040036,15
275000.0,7044665.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048095.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1094835873,7054089.980610126,279869.4,7048108.83,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270504.8657897942,7055596.432159493,281830.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.039528129,7052000.019056199,16
275000.0,7044676.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048095.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1094835873,7054089.980610126,279869.4,7048108.83,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270504.8657897942,7055596.432159493,281810.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395282001,7052000.0190885905,17
275000.01,7044687.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048105.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1090487718,7054099.980610126,279853.94,7048121.51,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270489.23353259405,7055608.918457,281800.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395282355,7052000.019104844,18
275000.02,7044698.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",1.0,275000.0,7048105.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1090487718,7054099.980610126,279846.19,7048127.84,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270481.4209959288,7055615.170224531,281790.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395282708,7052000.019121119,19
