ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_x_pred,ship_1_y_pred,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,time
275000.0,7044620.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,273037.14,7046114.11,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276829.50588157057,7057488.518505779,281860.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952808876,7052000.019007778,12
275000.0,7044630.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,273046.48,7046142.62,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276838.98689274554,7057516.981500955,281840.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395280933,7052000.019040036,13
275000.0,7044640.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,273049.59,7046152.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276842.145966854,7057526.465141348,281830.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.039528129,7052000.019056199,14
275000.0,7044650.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,1.0,273052.71,7046161.62,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276845.30647380016,7057535.951638784,281820.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395281646,7052000.019072384,15
275000.0,7044660.0,10.0,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275000.0,7044500.0,0.0,273058.96,7046180.62,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276851.62902264023,7057554.927453953,281800.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395282355,7052000.019104844,16
275000.0,7044670.0,10.0,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275000.0,7044500.0,0.0,273062.09,7046190.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276854.7910509005,7057564.4167761495,281790.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395282708,7052000.019121119,17
275000.0,7044680.0,9.8,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275000.0,7044500.0,0.0,273062.09,7046190.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276854.7910509005,7057564.4167761495,281780.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952830593,7052000.019137417,18
275000.0,7044689.8,9.62,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275000.0,7044500.0,1.0,273068.36,7046209.11,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276861.11368769367,7057583.3892288,281770.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.039528341,7052000.019153735,19
275000.0,7044699.42,9.46,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273071.5,7046218.6,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276864.27427760436,7057592.8723648405,281760.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395283759,7052000.0191701,20
275000.0,7044708.88,9.31,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273074.64,7046228.1,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276867.43779934756,7057602.364522978,281750.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952841065,7052000.019186486,21
274999.99,7044718.19,9.16,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273074.64,7046228.1,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276867.43779934756,7057602.364522978,281750.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952841065,7052000.019186486,22
274999.99,7044718.19,9.16,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273080.93,7046247.08,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276873.76044123655,7057621.333640905,281730.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395284799,7052000.019219349,23
274999.96,7044736.37,8.89,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273084.08,7046256.57,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276876.9224437486,7057630.8196395645,281720.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285144,7052000.019235801,24
274999.94,7044745.26,8.78,1.57,"[[274962, 7045067, 8.0], [274962, 7056667, 10.0]]",275016.7501295585,7054241.428319136,0.0,273084.08,7046256.57,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276876.9224437486,7057630.8196395645,281720.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285144,7052000.019235801,25
